day,pressure,maxtemp,temperature,mintemp,dewpoint,humidity,cloud,rainfall,sunshine,wind,windspeed
5,1009.6,33.0,28.4,24.0,23.1,74.3,50.9,yes,8.391666666666667,50.7,25.9
6,1010.2,32.0,28.1,25.0,23.7,78.0,61.7,yes,6.3500000000000005,15.2,20.5
7,1009.6,29.0,26.7,24.9,23.0,80.6,58.6,yes,5.929166666666667,15.0,18.4
8,1008.3,30.0,27.1,24.6,23.5,81.1,57.0,yes,5.0375000000000005,11.2,20.5
9,1007.5,31.0,28.0,24.8,21.9,71.1,29.0,no,9.129166666666666,26.3,24.1
10,1008.0,30.0,27.5,24.5,21.5,70.4,45.5,no,8.4,13.7,22.3
11,1007.6,31.0,27.6,24.6,23.1,76.8,51.6,yes,4.754166666666666,8.8,18.4
12,1007.9,27.0,24.6,23.0,22.6,88.7,86.0,yes,2.1041666666666665,332.7,14.8
13,1007.6,29.0,25.7,23.0,23.3,87.2,88.8,yes,1.5666666666666667,350.7,13.0
14,1007.5,29.0,26.3,24.2,24.5,90.1,79.1,yes,4.541666666666667,357.3,13.0
15,1008.4,30.0,27.3,25.0,24.9,87.2,63.4,yes,4.483333333333333,62.4,18.4
16,1011.2,28.0,25.6,24.0,24.4,92.9,87.5,yes,3.858333333333333,30.2,20.5
17,1011.9,29.0,25.5,22.8,21.2,77.6,51.9,no,6.691666666666666,11.9,24.1
18,1011.7,30.0,26.3,23.3,21.7,75.9,61.7,yes,5.05,7.3,20.5
19,1010.2,31.0,27.4,24.5,22.7,76.0,56.6,yes,6.020833333333333,36.8,29.5
20,1009.2,31.0,27.5,25.0,24.1,82.2,62.3,yes,7.816666666666666,37.1,35.3
21,1009.4,31.0,28.3,25.0,24.2,79.4,39.8,yes,7.708333333333333,33.1,11.2
22,1009.3,31.0,28.2,25.0,23.7,77.5,40.1,yes,8.179166666666667,20.8,13.0
23,1009.1,32.0,28.5,24.9,22.5,71.4,38.8,yes,8.929166666666667,44.6,25.9
24,1009.1,32.0,28.7,25.0,22.2,68.8,37.9,no,9.441666666666666,48.2,33.5
25,1009.6,32.0,28.6,25.0,22.7,71.4,45.5,no,9.220833333333333,41.2,24.1
26,1009.3,32.0,28.0,24.8,21.9,70.7,54.3,no,9.5375,31.3,24.1
27,1009.5,31.0,27.7,24.6,20.6,66.1,40.0,no,9.704166666666667,41.9,25.9
28,1011.3,29.0,26.1,22.8,18.5,63.3,54.5,no,9.629166666666666,31.0,22.3
29,1011.6,29.0,25.5,23.8,19.6,70.2,42.1,no,7.941666666666666,11.1,22.3
30,1012.0,28.0,25.3,23.0,19.0,68.5,50.5,no,4.95,13.5,22.3
31,1011.5,29.0,25.6,23.8,19.9,71.3,63.4,no,6.8875,9.2,22.3
1,1010.6,33.0,27.7,23.6,21.7,71.0,29.0,no,8.887500000000001,30.0,24.1
2,1009.8,33.0,28.9,25.0,21.5,65.5,42.1,yes,7.483333333333333,48.5,25.9
3,1009.8,33.0,28.8,25.9,21.0,63.4,52.1,no,9.025,52.4,27.7
4,1009.2,32.0,28.0,24.9,20.4,63.8,60.0,yes,7.766666666666667,41.0,20.5
5,1008.3,31.0,28.1,25.1,22.2,71.1,45.4,yes,8.674999999999999,64.0,14.8
6,1007.4,30.0,27.7,24.9,22.3,73.2,58.2,yes,7.9624999999999995,58.9,11.2
7,1006.7,32.0,28.1,24.8,23.3,76.3,51.6,yes,8.366666666666667,124.7,16.6
8,1007.0,31.0,28.2,25.0,23.4,76.1,51.4,no,8.745833333333334,128.8,14.8
9,1007.6,33.0,28.4,24.6,23.0,73.7,41.8,no,9.1625,135.2,13.0
10,1008.2,32.0,28.0,24.8,22.9,74.5,52.0,yes,7.929166666666667,148.2,9.4
11,1008.4,32.0,28.1,24.8,23.3,75.8,51.2,yes,7.991666666666667,188.3,11.2
12,1007.3,32.0,28.5,25.6,23.4,74.8,44.0,yes,8.025,323.6,11.2
13,1007.1,33.0,29.2,24.6,22.7,69.7,32.5,yes,8.808333333333334,342.5,11.2
14,1007.7,32.0,28.4,26.0,23.7,76.9,59.0,no,6.683333333333334,10.9,11.2
15,1009.6,32.0,27.7,25.7,23.0,76.0,61.8,yes,4.941666666666666,34.4,79.6
16,1009.6,30.0,26.9,24.5,23.4,81.6,65.7,yes,4.154166666666667,39.7,18.4
17,1010.7,32.0,27.5,24.0,23.4,79.6,66.4,yes,7.6875,26.2,11.2
18,1012.1,31.0,28.2,24.3,20.8,65.6,47.0,no,8.9125,40.8,18.4
19,1011.7,32.0,28.2,23.3,20.3,62.9,35.8,no,9.358333333333333,33.1,22.3
20,1011.2,32.0,28.3,24.8,21.5,67.8,54.6,yes,7.729166666666667,49.5,24.1
21,1012.7,33.0,28.3,24.2,20.0,61.2,46.4,no,8.262500000000001,54.9,20.5
22,1013.6,31.0,27.6,24.0,18.9,59.6,58.4,no,6.058333333333334,43.7,29.5
23,1013.3,31.0,27.3,23.8,18.4,59.1,45.0,no,8.9625,31.0,24.1
24,1013.1,31.0,27.4,23.6,19.6,63.3,39.0,no,8.483333333333333,16.2,111.2
25,1013.2,32.0,28.6,25.3,21.5,66.4,43.0,yes,7.95,42.1,25.9
26,1012.8,32.0,28.2,25.1,20.5,64.6,50.1,no,6.4375,48.4,31.7
27,1012.5,31.0,27.0,23.5,16.8,54.4,45.2,no,10.491666666666667,41.8,25.9
28,1011.6,30.0,25.7,21.2,16.0,56.1,36.5,no,10.179166666666667,29.8,22.3
29,1011.2,31.0,26.3,20.5,16.6,57.3,40.2,no,10.358333333333333,9.0,14.8
30,1010.4,32.0,27.6,22.4,17.5,55.9,36.4,no,10.762500000000001,352.8,11.2
31,1010.3,32.0,26.7,21.9,18.8,63.3,36.9,no,10.158333333333333,31.9,13.0
1,1010.6,32.0,27.9,24.1,19.5,61.1,40.6,yes,9.604166666666666,14.6,20.5
2,1011.3,30.0,27.3,25.0,22.5,75.8,64.5,yes,6.4875,50.0,20.5
3,1011.0,29.0,26.1,23.4,23.1,84.2,56.3,yes,7.0874999999999995,3.6,14.8
4,1009.3,33.0,28.9,25.0,22.5,69.8,31.0,yes,9.420833333333333,18.2,16.6
5,1008.3,34.0,29.3,25.4,21.5,65.5,38.6,no,9.558333333333334,350.6,16.6
6,1008.5,32.0,27.7,23.4,20.4,67.8,30.9,no,11.4375,359.7,11.2
7,1008.9,32.0,26.9,22.5,21.3,73.4,28.1,no,10.641666666666667,180.9,9.4
8,1008.9,33.0,27.9,23.0,21.6,71.3,25.8,no,10.854166666666666,250.0,9.4
